Nation Name,GDP per capita,IQ average,Gini Coefficient,Life expectancy,HDI,Unemployment rate,Public debt to GDP ratio,CPI,Rule of Law Index,Democracy Index,Dummy
Kenya,0.2279792746,0.2953367876,0.432642487,0.1113989637,0.2668393782,0.5569948187,0.3834196891,0.2849740933,0.3316062176,0.3886010363,0.3886010363
Kiribati,0.2227979275,0.5569948187,0.8937823834,0.2020725389,0.3316062176,0.2357512953,0.9585492228,0.5932642487,0.5829015544,0.7642487047,0.7642487047
Kuwait,0.8704663212,0.3730569948,0.1347150259,0.7979274611,0.8134715026,0.9481865285,0.9689119171,0.5259067358,0.6398963731,0.310880829,0.310880829
Kyrgyzstan,0.1502590674,0.4041450777,0.8601036269,0.3989637306,0.4222797927,0.4559585492,0.4196891192,0.1968911917,0.3031088083,0.2849740933,0.2849740933
Lao People's Democratic Republic,0.2849740933,0.4507772021,0.4196891192,0.3005181347,0.2875647668,0.3005181347,0.3549222798,0.2616580311,0.1968911917,0.03626943005,0.03626943005
Latvia,0.7668393782,0.8031088083,0.567357513,0.6269430052,0.8264248705,0.4274611399,0.7150259067,0.7616580311,0.8601036269,0.7772020725,0.7772020725
Lebanon,0.4611398964,0.4663212435,0.7590673575,0.7202072539,0.4507772021,0.1994818653,0,0.1606217617,0.3031088083,0.2901554404,0.2901554404
Lesotho,0.1398963731,0.1917098446,0.2098445596,0.01554404145,0.1088082902,0.0103626943,0.5932642487,0.4378238342,0.3575129534,0.5284974093,0.5284974093
Liberia,0.481865285,0.01295336788,0.5829015544,0.07772020725,0.07772020725,0.8471502591,0.7305699482,0.2331606218,0.2668393782,0.4196891192,0.4196891192
Libya,0.5284974093,0.4455958549,0.2305699482,0.3160621762,0.4740932642,0.07772020725,0.8601036269,0.0518134715,0.03367875648,0.0932642487,0.0932642487
Liechtenstein,0.9844559585,0.9689119171,0.9740932642,0.9663212435,0.9585492228,0.9222797927,0.9948186528,0.9766839378,0.9974093264,0.8419689119,0.8419689119
Lithuania,0.8238341969,0.8341968912,0.5544041451,0.6113989637,0.8601036269,0.4792746114,0.7564766839,0.8056994819,0.8756476684,0.7720207254,0.7720207254
Luxembourg,0.9896373057,0.9481865285,0,0.8808290155,0.8989637306,0.6424870466,0.9015544041,0.9481865285,0.9507772021,0.9481865285,0.9481865285
Madagascar,0.621761658,0.3316062176,0.274611399,0.103626943,0.1191709845,0.9222797927,0.6865284974,0.189119171,0.2461139896,0.4611398964,0.4611398964
Malawi,0.04922279793,0.2124352332,0.4533678756,0.2435233161,0.09844559585,0.5958549223,0.4896373057,0.4041450777,0.5207253886,0.4974093264,0.4974093264
Malaysia,0.6735751295,0.6398963731,0.3160621762,0.6476683938,0.6994818653,0.7668393782,0.3316062176,0.6243523316,0.6269430052,0.7642487047,0.7642487047
Maldives,0.8756476684,0.4300518135,0.8497409326,0.8082901554,0.5414507772,0.4792746114,0.0414507772,0.4792746114,0.5829015544,0.4766839378,0.4766839378
Mali,0.4974093264,0.0725388601,0.5544041451,0.0414507772,0.0310880829,0.3549222798,0.6787564767,0.2331606218,0.1968911917,0.2694300518,0.2694300518
Malta,0.4093264249,0.7616580311,0.7901554404,0.9274611399,0.8834196891,0.8471502591,0.481865285,0.670984456,0.810880829,0.8186528497,0.8186528497
Marshall Islands,0.6554404145,0.5569948187,0.5751295337,0.225388601,0.3626943005,0.2720207254,0.896373057,0.6554404145,0.5829015544,0.6735751295,0.6735751295
Mauritania,0.2124352332,0.0725388601,0.7227979275,0.2797927461,0.1968911917,0.2564766839,0.4974093264,0.2098445596,0.1165803109,0.3212435233,0.3212435233
Mauritius,0.6554404145,0.6113989637,0.5336787565,0.5595854922,0.7124352332,0.3393782383,0.2461139896,0.6554404145,0.7124352332,0.9015544041,0.9015544041
Mexico,0.6062176166,0.6580310881,0.1839378238,0.5699481865,0.6761658031,0.878238342,0.5544041451,0.2849740933,0.2383419689,0.4093264249,0.4093264249
Federated States of Micronesia,0.3575129534,0.5569948187,0.3834196891,0.225388601,0.3367875648,0.09844559585,0.9222797927,0.4792746114,0.4766839378,0.6088082902,0.6088082902
Monaco,1,0.9119170984,0.9119170984,1,0.5284974093,0.9559585492,0.9844559585,0.9766839378,0.9740932642,0.518134715,0.518134715
Mongolia,0.4352331606,0.7512953368,0.7150259067,0.4093264249,0.7823834197,0.414507772,0.3704663212,0.3419689119,0.5440414508,0.5647668394,0.5647668394
Montenegro,0.5906735751,0.6010362694,0.5336787565,0.6632124352,0.3989637306,0.1191709845,0.2383419689,0.5932642487,0.6139896373,0.5880829016,0.5880829016
Morocco,0.3160621762,0.1450777202,0.4041450777,0.5803108808,0.0518134715,0.1994818653,0.3005181347,0.5569948187,0.3886010363,0.3834196891,0.3834196891
Mozambique,0.0207253886,0.2487046632,0.0932642487,0.0932642487,0.2227979275,0.7772020725,0.1398963731,0.1606217617,0.1476683938,0.2797927461,0.2797927461
Myanmar,0.1243523316,0.7564766839,0.8056994819,0.2124352332,0.3186528497,0.9404145078,0.7616580311,0.103626943,0.08808290155,0.0103626943,0.0103626943
Namibia,0.4222797927,0.1398963731,0.0207253886,0.2487046632,0.2979274611,0.0518134715,0.3419689119,0.670984456,0.7124352332,0.621761658,0.621761658
Nauru,0.6787564767,0.5569948187,0.7305699482,0.09844559585,0.274611399,0.0310880829,0.414507772,0.7150259067,0.4766839378,0.6943005181,0.6943005181
Nepal,0.1295336788,0.00518134715,0.707253886,0.3419689119,0.2668393782,0.6683937824,0.7668393782,0.3134715026,0.5207253886,0.3419689119,0.3419689119
Kingdom of the Netherlands,0.9430051813,0.9611398964,0.9455958549,0.8756476684,0.9404145078,0.8056994819,0.5388601036,0.9533678756,0.9507772021,0.9300518135,0.9300518135
New Zealand,0.9067357513,0.896373057,0.774611399,0.8652849741,0.4559585492,0.7901554404,0.7979274611,0.9896373057,0.9507772021,0.9948186528,0.9948186528
Nicaragua,0.2487046632,0.0414507772,0.1528497409,0.5647668394,0.3886010363,0.6580310881,0.5803108808,0.103626943,0.08808290155,0.1321243523,0.1321243523
Niger,0.0310880829,0.2383419689,0.5077720207,0.0621761658,0.01813471503,0.9844559585,0.6113989637,0.2953367876,0.2668393782,0.3056994819,0.3056994819
Nigeria,0.2383419689,0.1580310881,0.5984455959,0.00518134715,0.1476683938,0.3134715026,0.8445595855,0.1321243523,0.225388601,0.3316062176,0.3316062176
North Macedonia,0.5388601036,0.4766839378,0.6813471503,0.6787564767,0.6113989637,0.1295336788,0.5751295337,0.4792746114,0.5440414508,0.5233160622,0.5233160622
Norway,0.9792746114,0.8652849741,0.9948186528,0.932642487,0.7409326425,0.8186528497,0.7409326425,0.9611398964,0.9896373057,1,1
Oman,0.7512953368,0.378238342,0.0414507772,0.792746114,0.170984456,0.8264248705,0.3937823834,0.6917098446,0.6813471503,0.2331606218,0.2331606218
Pakistan,0.1813471503,0.4196891192,0.829015544,0.2538860104,0.1606217617,0.5233160622,0.310880829,0.2098445596,0.1476683938,0.3264248705,0.3264248705
Palau,0.7046632124,0.5569948187,0.9663212435,0.5,0.7305699482,0.9637305699,0.4663212435,0.7823834197,0.6813471503,0.6735751295,0.6735751295
Panama,0.7202072539,0.3989637306,0.08808290155,0.7772020725,0.1917098446,0.2823834197,0.378238342,0.3419689119,0.5025906736,0.7046632124,0.7046632124
Papua New Guinea,0.2797927461,0.3626943005,0.3031088083,0.1761658031,0.5051813472,0.878238342,0.6865284974,0.1606217617,0.08808290155,0.5077720207,0.5077720207
Paraguay,0.5336787565,0.585492228,0.1994818653,0.518134715,0.5958549223,0.5388601036,0.8367875648,0.2098445596,0.3316062176,0.4870466321,0.4870466321
Peru,0.3471502591,0.4559585492,0.378238342,0.7098445596,0.4300518135,0.5077720207,0.8238341969,0.3704663212,0.4300518135,0.5025906736,0.5025906736
Philippines,0.3419689119,0.4611398964,0.3549222798,0.3264248705,0.8497409326,0.5958549223,0.4559585492,0.3134715026,0.3316062176,0.6580310881,0.6580310881
